DATAFLOW,FREQ,FAM_TARGET,ITTER107,TIPO_DATO_MIGLIAIA,HH_FORE,TIPOLOGIA_FAM,HH_RETIRED,HH_UNE_PLF,TIME_PERIOD,OBS_VALUE,BREAK,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT,METADATA_EN,METADATA_IT
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH,HH_NORET,TOTAL,2021,7579.955,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH,HH_NORET,TOTAL,2022,7460.507,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH,HH_NORET,TOTAL,2023,7343.389,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH,TOTAL,HH_0UNEMP,2021,8056.48,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH,TOTAL,HH_0UNEMP,2022,8013.47,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH,TOTAL,HH_0UNEMP,2023,7931.722,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH,TOTAL,HH_ALT1UP,2021,811.661,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH,TOTAL,HH_ALT1UP,2022,693.105,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH,TOTAL,HH_ALT1UP,2023,655.425,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH,TOTAL,HH_ATL1UP_PLF,2021,1834.602,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH,TOTAL,HH_ATL1UP_PLF,2022,1514.551,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH,TOTAL,HH_ATL1UP_PLF,2023,1378.854,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH,TOTAL,TOTAL,2021,8868.141,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH,TOTAL,TOTAL,2022,8706.575,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH,TOTAL,TOTAL,2023,8587.147,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH_GE2P,HH_NORET,HH_0UNEMP,2021,3457.084,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH_GE2P,HH_NORET,HH_0UNEMP,2022,3326.315,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH_GE2P,HH_NORET,HH_0UNEMP,2023,3203.239,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH_GE2P,HH_NORET,HH_ALT1UP,2021,741.782,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH_GE2P,HH_NORET,HH_ALT1UP,2022,634.402,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH_GE2P,HH_NORET,HH_ALT1UP,2023,601.213,,,,,,,,,
